Start,End,Open,High,Low,Close,Volume,Market Cap
25/02/2024,26/02/2024,51568.16,51932.93,51340.03,51743.97,26223098131,1.01399E+12
24/02/2024,25/02/2024,50744.12,51664.32,50590.04,51549.1,32742452149,1.00439E+12
23/02/2024,24/02/2024,51288.38,51501.55,50660.19,50830.04,39680259962,1.00327E+12
22/02/2024,23/02/2024,51849.39,52026.56,50947.82,51339.49,46651103477,1.01268E+12
21/02/2024,22/02/2024,52258.8,52341.7,50772.85,51833,52153948766,1.0106E+12
20/02/2024,21/02/2024,51774.73,52887.96,50803.55,52278.15,44183700165,1.01847E+12
19/02/2024,20/02/2024,52126.89,52476.91,51735.45,51739.37,32201907720,1.02329E+12
18/02/2024,19/02/2024,51642.61,52338.43,51214.73,52119.06,31540616365,1.01564E+12
17/02/2024,18/02/2024,52124.14,52149.08,50630.03,51673.99,35178091491,1.01321E+12
16/02/2024,17/02/2024,51880.02,52467.94,51629.9,52121.96,47646573466,1.02108E+12
15/02/2024,16/02/2024,51783.92,52771.03,51325.97,51888.33,53084197643,1.02184E+12
14/02/2024,15/02/2024,49699.59,51945.99,49324.02,51819.74,51748211302,9.97549E+11
13/02/2024,14/02/2024,49917.25,50204.94,48449.96,49741.98,53115326968,9.7384E+11
12/02/2024,13/02/2024,48297.37,50255.98,47745.03,50017.36,38777494089,9.57112E+11
11/02/2024,12/02/2024,47751.14,48534.61,47608.53,48269.68,30911023233,9.44666E+11
10/02/2024,11/02/2024,47122.11,48080.16,46879.57,47760.23,45283385490,9.29109E+11
09/02/2024,10/02/2024,45288.66,48076.09,45252.45,47093.93,47445816052,9.17625E+11
08/02/2024,09/02/2024,44345.87,45550.04,44345.87,45315.99,38857280497,8.80902E+11
07/02/2024,08/02/2024,43096.02,44334.08,42795.21,44328.04,27981396003,8.49012E+11
06/02/2024,07/02/2024,42708.71,43360.57,42578.66,43105.15,29890974499,8.42823E+11
05/02/2024,06/02/2024,42582.94,43494.23,42286.04,42713.66,27475772367,8.39544E+11
04/02/2024,05/02/2024,43006.66,43107.98,42228.04,42609.98,21504822985,8.41322E+11
03/02/2024,04/02/2024,43185.79,43355.96,42925.88,42970.67,26212803849,8.45608E+11
02/02/2024,03/02/2024,43082.94,43424.42,42629.75,43189.15,33012863716,8.44822E+11
01/02/2024,02/02/2024,42587.2,43239.64,41932.02,43069.45,39191696926,8.32834E+11
31/01/2024,01/02/2024,42945.4,43741.81,42287.98,42611.24,36387883735,8.41846E+11
30/01/2024,31/01/2024,43302.73,43791.13,42811.98,42915.56,35745948974,8.51479E+11
29/01/2024,30/01/2024,42031.02,43283.58,41847.34,43269.41,27591401456,8.32917E+11
28/01/2024,29/01/2024,42098.02,42834.18,41696.43,42018.7,23994200912,8.28469E+11
27/01/2024,28/01/2024,41814,42190.01,41473.93,42112.7,33456456024,8.20243E+11
26/01/2024,27/01/2024,39961.1,42205.19,39829.36,41866.1,32727132167,8.02733E+11
25/01/2024,26/01/2024,40085.18,40278.07,39579.43,39929.16,30611272945,7.8353E+11
24/01/2024,25/01/2024,39904.06,40538.01,39571.64,40145.83,41582556190,7.82819E+11
23/01/2024,24/01/2024,39567.96,40166.68,38604.83,39873.77,47245661175,7.73227E+11
22/01/2024,23/01/2024,41580.35,41685.73,39516.98,39516.98,28953952803,7.98794E+11
21/01/2024,22/01/2024,41696.07,41864.33,41530.03,41549.91,17460482793,8.17357E+11
20/01/2024,21/01/2024,41659.07,41857.38,41467.97,41668.99,34880561427,8.15918E+11
19/01/2024,20/01/2024,41316.12,42186.01,40336.03,41627.16,43162587575,8.09637E+11
18/01/2024,19/01/2024,42777.87,42916.99,40751.17,41296.92,33298896660,8.28415E+11
17/01/2024,18/01/2024,43137.99,43188,42259.96,42764.71,37465467149,8.37594E+11
16/01/2024,17/01/2024,42523.93,43525.03,42090.04,43137.2,35476803078,8.41661E+11
15/01/2024,16/01/2024,41746.55,43369.82,41746.55,42611.43,33261581208,8.35207E+11
14/01/2024,15/01/2024,42847.96,43054.18,41737.9,41737.9,25534697690,8.38079E+11
13/01/2024,14/01/2024,42797.5,43250.08,42463.07,42840.02,59386885600,8.40023E+11
12/01/2024,13/01/2024,46342.02,46416.33,41903.92,42896.05,64928724109,8.83712E+11
11/01/2024,12/01/2024,46639.46,48853.77,45699.32,46356.96,86342160205,9.12541E+11
10/01/2024,11/01/2024,46106.95,47629.98,44632.42,46564.21,62473093955,8.97575E+11
09/01/2024,10/01/2024,46951.07,47842.37,45412.61,46082.08,1.11772E+11,9.13769E+11
08/01/2024,09/01/2024,43923.68,47200.03,43260.51,46900.01,1.22272E+11,8.78478E+11
07/01/2024,08/01/2024,43966.93,44442.83,43625.9,43850.46,96328651325,8.63401E+11
06/01/2024,07/01/2024,44145.12,44180.03,43454.05,43941.78,1.16259E+11,8.58402E+11
05/01/2024,06/01/2024,44168.03,44229.51,43142.74,44112.11,1.42446E+11,8.57139E+11
04/01/2024,05/01/2024,42845.26,44664.55,42635.44,44188.15,1.63905E+11,8.51367E+11
03/01/2024,04/01/2024,44944.83,45474.95,40931.46,42818.03,99124375068,8.6021E+11
02/01/2024,03/01/2024,44179.5,45846.21,44179.5,44957.63,46593616092,8.85907E+11
01/01/2024,02/01/2024,42276.34,44122.03,42227.99,44122.03,25446134905,8.38251E+11
31/12/2023,01/01/2024,42140.32,42814.17,42000.02,42224.09,25925718094,8.31326E+11
